id,l10n_cl_currency_code,name,l10n_cl_short_name,rounding,position,symbol,currency_unit_label,active
base.AED,139,AED,DIRHAM,0.01,,د.إ,,
base.ARS,1,ARS,PESO,0.01,,$,,
base.AUD,36,AUD,DOLAR AUST,0.01,,$,,
base.BOB,4,BOB,BOLIVIANO,0.01,,Bs.,,
base.BRL,5,BRL,CRUZEIRO REAL,0.01,,R$,,
base.CAD,6,CAD,DOLAR CAN,0.01,,$,,
base.CHF,82,CHF,FRANCO SZ,0.01,,CHF,,
base.CLP,200,CLP,PESO CL,0.01,before,CLP,Peso,True
base.CNY,48,CNY,RENMINBI,0.01,,¥,,
base.COP,129,COP,PESO COL,0.01,,$,,
base.ECS,130,ECS,SUCRE,0.01,,S/.,,
base.EUR,142,EUR,EURO,0.01,before,€,Euros,
base.GBP,102,GBR,LIBRA EST,1,,£,,
base.HKD,127,HKD,DOLAR HK,0.01,,$,,
base.INR,137,INR,RUPIA,0.01,,₹,,
base.JPY,72,JPY,YEN,1.00,,¥,,
base.MXN,132,MXN,PESO MEX,0.01,,$,,
base.NOK,96,NOK,CORONA NOR,0.01,,kr,,
base.NZD,97,NZD,DOLAR NZ,0.01,,$,,
base.PEN,24,PEN,NUEVO SOL,0.01,,S/,,
base.PYG,23,PYG,GUARANI,0.01,,₲,,
base.SEK,113,SEK,CORONA SC,0.01,,kr,,
base.SGD,136,SGD,DOLAR SIN,0.01,,$,,
base.TWD,138,TWD,DOLAR TAI,0.01,,NT$,,
l10n_cl.UF,,UF,Unidad de Fomento,0.01,after,UF,Unidad de Fomento,
base.USD,13,USD,DOLAR USA,0.01,before,$,Dollars,
l10n_cl.UTM,,UTM,Unidad Tributaria Mensual,0.01,after,UTM,Unidad Tributaria Mensual,
base.UYU,26,UYU,PESO URUG,0.01,,$,,
base.VEF,134,VEF,BOLIVAR,0.0001,,Bs.F,,
base.ZAR,128,ZAR,RAND,0.01,,R,,
l10n_cl.OTR,900,OTR,OTR,1,,OTR,,