id,name,applicability,country_id:id
account.account_tag_operating,CF: Үндсэн: Бусад,accounts,
account.account_tag_financing,CF: Хөрөнгө оруулалт: Бусад Урт хугацаат хөрөнгө,accounts,
account.account_tag_investing,CF: Санхүү: Ногдол ашиг,accounts,
account_tag_operating_product,CF: Үндсэн: Бараа үйлчилгээ,accounts,
account_tag_operating_loyalty,CF: Үндсэн: Эрхийн шимтгэл хураамж,accounts,
account_tag_operating_insurance,CF: Үндсэн: Нийгмийн Даатгал,accounts,
account_tag_operating_insurance2,CF: Үндсэн: Бусад Даатгал,accounts,
account_tag_operating_taxrefund,CF: Үндсэн: Татвар,accounts,
account_tag_operating_funding,CF: Үндсэн: Татаас санхүүжилт,accounts,
account_tag_operating_employee,CF: Үндсэн: Ажилчид,accounts,
account_tag_operating_cost,CF: Үндсэн: Ашиглалтын зардал,accounts,
account_tag_operating_transport,CF: Үндсэн: Түлш тээвэр сэлбэг,accounts,
account_tag_operating_interest,CF: Үндсэн: Зээлийн хүү,accounts,
account_tag_investing_fasset,CF: Хөрөнгө оруулалт: Үндсэн хөрөнгө,accounts,
account_tag_investing_iasset,CF: Хөрөнгө оруулалт: Биет бус хөрөнгө,accounts,
account_tag_investing_invest,CF: Хөрөнгө оруулалт: Хөрөнгө оруулалт,accounts,
account_tag_investing_loan,CF: Хөрөнгө оруулалт: Зээл урьдчилгаа,accounts,
account_tag_investing_interest,CF: Хөрөнгө оруулалт: Зээлийн хүү,accounts,
account_tag_investing_dividends,CF: Хөрөнгө оруулалт: Ногдол ашиг,accounts,
account_tag_financing_loan,"CF: Санхүү: Зээл, өрийн үнэт цаас",accounts,
account_tag_financing_rental,CF: Санхүү: Санхүүгийн түрээс,accounts,
account_tag_financing_stock,CF: Санхүү: Хувьцаа өмчийн бусад үнэт цаас,accounts,
account_tag_financing_donation,CF: Санхүү: Хандив,accounts,
account_tag_exchange,CF: Валютын ханшийн зөрүү,accounts,
vat_report_tag2,ТТ3а: НӨАТ-аас чөлөөлөгдөх борлуулалтын орлого (2),taxes,base.mn
vat_report_tag5,ТТ3a: Дотоодын зах зээлд борлуулсан барааны борлуулалтын орлого (5),taxes,base.mn
vat_report_tag6,ТТ3a: Бусад барааны борлуулалтын орлого (6),taxes,base.mn
vat_report_tag7,ТТ3a: Эрх борлуулсны орлого (7),taxes,base.mn
vat_report_tag8,ТТ3a: Татан буугдах үед үлдсэн барааны орлого (8),taxes,base.mn
vat_report_tag9,ТТ3a: Өрийн төлбөрт шилжүүлсэн барааны орлого (9),taxes,base.mn
vat_report_tag11,ТТ3a: Өрийн төлбөрт тооцсон ажил үйлчилгээний орлого (11),taxes,base.mn
vat_report_tag12,"ТТ3a: Цахилгаан,  дулаан, ус, шуудан, холбооны үйлчилгээ үзүүлсний орлого (12)",taxes,base.mn
vat_report_tag13,"ТТ3a: Бараа түрээслүүлэх, эзэмшүүлэх, ашиглуулах үйлчилгээний орлого (13)",taxes,base.mn
vat_report_tag14,"ТТ3a: Байр түрээслүүлэх, эзэмшүүлэх, ашиглуулах үйлчилгээний орлого (14)",taxes,base.mn
vat_report_tag15,"ТТ3a: Үл хөдлөх, хөдлөх хөрөнгө түрээслүүлэх, эзэмшүүлэх ашиглуулах үйлчилгээий орлого (15)",taxes,base.mn
vat_report_tag16,"ТТ3a: Шинэ бүтээл, загвар, зохиогчийн эрх, барааны тэмдэг худалдсаны орлого (16)",taxes,base.mn
vat_report_tag17,"ТТ3a: Хонжворт сугалаа, төлбөрт таавар, бооцоот тоглоомын орлого (17)",taxes,base.mn
vat_report_tag18,ТТ3a: Зуучлалын үйлчилгээний орлого (18),taxes,base.mn
vat_report_tag19,"ТТ3a: Бусдаас авсан хүү, торгууль, алдангийн орлого (19)",taxes,base.mn
vat_report_tag20,ТТ3a: Хөрөнгийн үнэлгээний үйлчилгээний орлого (20),taxes,base.mn
vat_report_tag21,"ТТ3a: Төсвийн санхүүжилт, татаас, урамшууллын орлого (21)",taxes,base.mn
vat_report_tag22,"ТТ3a: Өмгөөлөл, хууль зүйн үйлчилгээний орлого (22)",taxes,base.mn
vat_report_tag23,"ТТ3a: Үсчин, гоо сайхан, засвар үйлчилгээ, угаалга, хими цэвэрлэгээний үйлчилгээний орлого (23)",taxes,base.mn
vat_report_tag24,ТТ3a: Хуулийн 13-т зааснаас бусад үйлчилгээний орлого (24),taxes,base.mn
vat_report_tag27,ТТ3a: Экспортонд гаргасан барааны борлуулалтын орлого (27),taxes,base.mn
vat_report_tag28,ТТ3a: Экспортолсон үйлчилгээний борлуулалтын орлого (28),taxes,base.mn
vat_report_tag32,"ТТ3а: Худалдан авсан нийт бараа, ажил үйлчилгээ (32)",taxes,base.mn
vat_report_tag34,"ТТ3a: НӨАТ-тэй авсан Импортын бараа, ажил үйлчилгээний худалдан авалт (34)",taxes,base.mn
vat_report_tag35,"ТТ3a: Дотоодын зах зээлээс НӨАТ-тэй авсан бараа, ажил, үйлчилгээ (35)",taxes,base.mn
vat_report_tag36,"ТТ3a: Суутган төлөгчөөр бүртгүүлэх үед НӨАТ-тэй авсан бараа, үйлчилгээ (36)",taxes,base.mn
vat_report_tag41,"ТТ3a: Мал аж ахуй, тариалан эрхлэгчээс НӨАТ-тэй авсан бараа, үйлчилгээ (41)",taxes,base.mn
vat_report_tag44,"ТТ3а: Суудлын автомашин, түүний эд анги сэлбэгт төлсөн  НӨАТ (44)",taxes,base.mn
vat_report_tag45,"ТТ3а: Ажлын хэрэгцээнд зориулж авсан бараа, үйлчилгээнд төлсөн НӨАТ (45)",taxes,base.mn
vat_report_tag46,"ТТ3а: Чөлөөлөгдөх үйлдвэрлэл, үйлчилгээнд зориулж авсан бараа, ажил, үйлчилгээнд төлсөн НӨАТ (46)",taxes,base.mn
vat_report_tag47,"ТТ3а: Хайгуулын ажил болон ашиглалтын өмнөх үйл ажиллагаанд зориулж импортоор авсан бараа, ажил, үйлчилгээнд төлсөн НӨАТ (47)",taxes,base.mn
vat_report_tag48,"ТТ3а: Импортоор оруулсан бусад хамааралгүй бараа, ажил, үйлчилгээнд төлсөн НӨАТ (48)",taxes,base.mn
vat_report_tag50,ТТ3а: Cанхүүгийн түрээсээр дотоодын зах зээлд борлуулсны орлого (50),taxes,base.mn
vat_report_tag51,"ТТ3а: Факторинг, форфайтинг хэлцлийн үйлчилгээний орлого (51)",taxes,base.mn
vat_report_tag53,ТТ3а: Санхүүгийн түрээсийн зүйлийг худалдан авахад төлсөн түрээсийн төлбөр (53),taxes,base.mn
vat_report_tag54,"ТТ3а: Факторинг, форфайтинг хэлцлийг авахад төлсөн төлбөр (54)",taxes,base.mn
vat_report_tag58,"ТТ3а: Борлуулалтын орлогын буцаалт, хөнгөлөлт (58)",accounts,
vat_report_tag59,"ТТ3а: Худалдан авалтын буцаалт, хөнгөлөлт (59)",accounts,
vat_report_tag98,ТТ3a: Наториатын үйлчилгээний орлого (),taxes,base.mn
vat_report_tag99,"ТТ3а: Үндсэн хөрөнгө бэлтгэхэд зориулж импортоор авсан бараа, үйлчилгээнд төлсөн  НӨАТ ()",taxes,base.mn

tax_report_tag2,ТТ02: Татвараас чөлөөлөгдөх орлого (2),accounts,
tax_report_tag4,ТТ02: Бусад орлогын дүн (4),accounts,
tax_report_tag6,ТТ02: Үндсэн ажил үйлчилгээний орлого (6),accounts,
tax_report_tag7,"ТТ02: Таавар, бооцоот тоглоом, хонжворт сугалааны орлого (7)",accounts,
tax_report_tag8,ТТ02: Техникийн зөвлөх үйлчилгээний орлого (8),accounts,
tax_report_tag9,"ТТ02: Үнэ төлбөргүйгээр бусдаас авсан бараа, үйлчилгээ (9)",accounts,
tax_report_tag11,ТТ02: Биет бус хөрөнгө борлуулсны орлого (11),accounts,
tax_report_tag12,"ТТ02: Хувьцаа, үнэт цаас борлуулсны орлого (12)",accounts,
tax_report_tag14,"ТТ02: Гэрээний хүү, торгууль, хохирлын нөхөн төлбөрийн орлого (14)",accounts,
tax_report_tag15,ТТ02: Гадаад валютын ханшийн зөрүүгийн бодит орлого (15),accounts,
tax_report_tag16,ТТ02: Хөдлөх болон үл хөдлөх эд хөрөнгийн түрээсийн орлого (16),accounts,
tax_report_tag17,ТТ02: Албан татвар ногдох бусад орлого (17),accounts,
tax_report_tag22,ТТ02: Татвар ногдох орлогоос хасагдахгүй зардал (22),accounts,
tax_report_tag23,ТТ02: Татвар ногдох орлогыг бууруулах (23),accounts,
tax_report_tag25,ТТ02: Сайн дурын даатгалын хураамжийн хэтрэлт (25),accounts,
tax_report_tag27,ТТ02: Өмнөх жилийн татварын алдагдлаас тайлант хугацаанд шилжүүлсэн дүн (27),accounts,
tax_report_tag30,ТТ02: Татварын хөнгөлөлт (30),accounts,
tax_report_tag32,"ТТ02: Эротик хэвлэл, бичлэг, тоглолт борлуулалтын орлого (32)",accounts,
tax_report_tag35,"ТТ02: Таавар, бооцоот тоглоом, хонжворт сугалааны орлого олоход зарцуулсан зардал (35)",accounts,
tax_report_tag36,ТТ02: Хонжворт олгосон мөнгө болон барааны үнэ (36),accounts,
tax_report_tag38,ТТ02: Эрхийн шимтгэлийн орлого (38),accounts,
tax_report_tag39,ТТ02: Ногдол ашгийн орлого (39),accounts,
tax_report_tag40,ТТ02: Хүүгийн орлого (40),accounts,
tax_report_tag41,"ТТ02: Гадаад улсад олсон ногдол ашиг, хүүгийн орлого (41)",accounts,
tax_report_tag43,ТТ02: Гадаад улсад олсон орлого (43),accounts,
tax_report_tag50,ТТ02: Эрх борлуулсны орлого (50),accounts,
tax_report_tag52,ТТ02: Үл хөдлөх хөрөнгө борлуулсны орлого (52),accounts,
tax_report_tag53,ТТ02: Хөдлөх эд хөрөнгө борлуулсны орлого (53),accounts,
tax_report_tag54,ТТ02: Туслах ажил үйлчилгээний орлого (54),accounts,
